0 NONE Person_or_Vehicle NONE:0.000412502845998 Person_or_Vehicle:0.604162232496 Other:0.0398129311798 Building_or_Public_Space:0.266852437698 Road_or_Driveway:0.0746790061996 Traffic_Signal:0.0140808895799
18 Building_or_Public_Space Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.299308036223 Other:0.00760211200349 Building_or_Public_Space:0.6852875221 Road_or_Driveway:0.00780232967324 Traffic_Signal:0.0
19 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.84165743583 Other:0.00578257297231 Building_or_Public_Space:0.124998076681 Road_or_Driveway:0.0268283873726 Traffic_Signal:0.000733527144254
20 Person_or_Vehicle Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.382526898177 Other:0.0105417504168 Building_or_Public_Space:0.596802657643 Road_or_Driveway:0.0101286937634 Traffic_Signal:0.0
21 Road_or_Driveway Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.627828632342 Other:0.00275761029496 Building_or_Public_Space:0.279820504224 Road_or_Driveway:0.0888587808508 Traffic_Signal:0.000734472288205
22 Road_or_Driveway Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.573138573096 Other:0.00461882459664 Building_or_Public_Space:0.371648767244 Road_or_Driveway:0.0505938350633 Traffic_Signal:0.0
23 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.93276798124 Other:0.00362675224196 Building_or_Public_Space:0.0503336454386 Road_or_Driveway:0.0132716210799 Traffic_Signal:0.0
24 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.985888571443 Other:0.00188020261531 Building_or_Public_Space:0.00515432562942 Road_or_Driveway:0.00707690031224 Traffic_Signal:0.0
25 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.97516743256 Other:0.00380921152786 Building_or_Public_Space:0.0151694852648 Road_or_Driveway:0.00585387064777 Traffic_Signal:0.0
26 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.880397631694 Other:0.0138030046015 Building_or_Public_Space:0.0796243467672 Road_or_Driveway:0.0261750169376 Traffic_Signal:0.0
27 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.814270006456 Other:0.00883405947475 Building_or_Public_Space:0.168351453013 Road_or_Driveway:0.00854448105696 Traffic_Signal:0.0
28 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.784679754323 Other:0.00833667707174 Building_or_Public_Space:0.157282578578 Road_or_Driveway:0.0497009900267 Traffic_Signal:0.0
29 Road_or_Driveway Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.360055103707 Other:0.00251542009951 Building_or_Public_Space:0.608351079847 Road_or_Driveway:0.0290783963458 Traffic_Signal:0.0
30 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.652797784005 Other:0.0108078382532 Building_or_Public_Space:0.297352679573 Road_or_Driveway:0.0381005637683 Traffic_Signal:0.000941134399897
31 Other Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.0948447095263 Other:0.00630692489092 Building_or_Public_Space:0.852557292521 Road_or_Driveway:0.0462910730622 Traffic_Signal:0.0
32 Building_or_Public_Space Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.217121615345 Other:0.0180963123368 Building_or_Public_Space:0.672133600772 Road_or_Driveway:0.0893179436013 Traffic_Signal:0.00333052794457
33 Building_or_Public_Space Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.236460237748 Other:0.00197036029465 Building_or_Public_Space:0.742412676958 Road_or_Driveway:0.0187127515038 Traffic_Signal:0.000443973496052
34 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.445260878121 Other:0.00429905770306 Building_or_Public_Space:0.328168956321 Road_or_Driveway:0.218106217609 Traffic_Signal:0.00416489024561
35 Traffic_Signal Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.83425976535 Other:0.00817647040055 Building_or_Public_Space:0.131437641656 Road_or_Driveway:0.0261261225932 Traffic_Signal:0.0
36 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.958243891123 Other:0.0014423235795 Building_or_Public_Space:0.0365996589462 Road_or_Driveway:0.00371412635151 Traffic_Signal:0.0
37 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.959570965758 Other:0.0023305042699 Building_or_Public_Space:0.0347923046657 Road_or_Driveway:0.00330622530614 Traffic_Signal:0.0
38 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.936746334688 Other:0.00219843565366 Building_or_Public_Space:0.0535241013578 Road_or_Driveway:0.00753112830084 Traffic_Signal:0.0
39 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.870803361396 Other:0.00361880871343 Building_or_Public_Space:0.11824253667 Road_or_Driveway:0.00733529322067 Traffic_Signal:0.0
40 Person_or_Vehicle Road_or_Driveway NONE:0.0 Person_or_Vehicle:0.273778850505 Other:0.0551575213932 Building_or_Public_Space:0.274825846155 Road_or_Driveway:0.396237781947 Traffic_Signal:0.0
41 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.44918066426 Other:0.0227540710502 Building_or_Public_Space:0.253219572324 Road_or_Driveway:0.269735070647 Traffic_Signal:0.00511062171829
42 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.80104221376 Other:0.00146114341775 Building_or_Public_Space:0.19076719433 Road_or_Driveway:0.0067294484917 Traffic_Signal:0.0
43 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.779218576123 Other:0.00271120853336 Building_or_Public_Space:0.170814063066 Road_or_Driveway:0.0472561522772 Traffic_Signal:0.0
44 Traffic_Signal Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.686579035283 Other:0.0182140020007 Building_or_Public_Space:0.22709935464 Road_or_Driveway:0.0681076080758 Traffic_Signal:0.0
45 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.8225735197 Other:0.0133379080285 Building_or_Public_Space:0.134187453952 Road_or_Driveway:0.0299011183194 Traffic_Signal:0.0
46 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.896215376258 Other:0.00280968408176 Building_or_Public_Space:0.0980788102607 Road_or_Driveway:0.00289612939944 Traffic_Signal:0.0
47 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.519407860463 Other:0.0098608577022 Building_or_Public_Space:0.429637493423 Road_or_Driveway:0.0410937884111 Traffic_Signal:0.0
48 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.742934360448 Other:0.00782134657633 Building_or_Public_Space:0.203150745056 Road_or_Driveway:0.0460935479197 Traffic_Signal:0.0
49 Road_or_Driveway Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.256240222745 Other:0.00585587476336 Building_or_Public_Space:0.726916908811 Road_or_Driveway:0.0109869936803 Traffic_Signal:0.0
50 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.843945491875 Other:0.00357367077498 Building_or_Public_Space:0.133734096143 Road_or_Driveway:0.0179244646687 Traffic_Signal:0.000822276537847
51 Other Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.616816336369 Other:0.0267184619487 Building_or_Public_Space:0.330658525453 Road_or_Driveway:0.0258066762291 Traffic_Signal:0.0
52 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.785079943222 Other:0.0129889871554 Building_or_Public_Space:0.168578774068 Road_or_Driveway:0.0333522955554 Traffic_Signal:0.0
53 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.732386094001 Other:0.00940230173215 Building_or_Public_Space:0.21258005944 Road_or_Driveway:0.0456315448266 Traffic_Signal:0.0
54 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.915163142227 Other:0.00867501190265 Building_or_Public_Space:0.0737670501922 Road_or_Driveway:0.00239479567779 Traffic_Signal:0.0
55 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.559959073883 Other:0.0692132289434 Building_or_Public_Space:0.363254697526 Road_or_Driveway:0.00757299964744 Traffic_Signal:0.0
56 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.86280194508 Other:0.0023390796163 Building_or_Public_Space:0.131677400258 Road_or_Driveway:0.00318157504542 Traffic_Signal:0.0
57 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.812327542646 Other:0.00655637143182 Building_or_Public_Space:0.170777240916 Road_or_Driveway:0.0103388450066 Traffic_Signal:0.0
58 Building_or_Public_Space Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.300091150265 Other:0.00513305654962 Building_or_Public_Space:0.685261264384 Road_or_Driveway:0.00951452880167 Traffic_Signal:0.0
59 Building_or_Public_Space Road_or_Driveway NONE:0.0 Person_or_Vehicle:0.137095668157 Other:0.00166070104842 Building_or_Public_Space:0.334674173093 Road_or_Driveway:0.524045669374 Traffic_Signal:0.00252378832759
60 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.663732143958 Other:0.0391681151152 Building_or_Public_Space:0.234879669151 Road_or_Driveway:0.0607507857585 Traffic_Signal:0.00146928601696
61 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.914650777265 Other:0.00171095560551 Building_or_Public_Space:0.0777215023265 Road_or_Driveway:0.00591676480293 Traffic_Signal:0.0
62 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.617806452408 Other:0.00925131975004 Building_or_Public_Space:0.363390429504 Road_or_Driveway:0.00955179833794 Traffic_Signal:0.0
63 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.941100792905 Other:0.00624215217602 Building_or_Public_Space:0.0502870458959 Road_or_Driveway:0.00237000902307 Traffic_Signal:0.0
64 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.802325466327 Other:0.00582645513357 Building_or_Public_Space:0.162722879601 Road_or_Driveway:0.0291251989381 Traffic_Signal:0.0
65 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.784924641476 Other:0.00410528823485 Building_or_Public_Space:0.187788005974 Road_or_Driveway:0.023182064315 Traffic_Signal:0.0
66 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.768516080854 Other:0.00395712669189 Building_or_Public_Space:0.154004871318 Road_or_Driveway:0.0735219211361 Traffic_Signal:0.0
67 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.837749305605 Other:0.0021430255087 Building_or_Public_Space:0.104694603705 Road_or_Driveway:0.0554130651804 Traffic_Signal:0.0
68 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.948075782007 Other:0.00523189737035 Building_or_Public_Space:0.0401623814647 Road_or_Driveway:0.00652993915799 Traffic_Signal:0.0
69 Other Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.85202413173 Other:0.0123680941996 Building_or_Public_Space:0.120613322514 Road_or_Driveway:0.0149944515557 Traffic_Signal:0.0
70 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.700170577936 Other:0.0155029437811 Building_or_Public_Space:0.253245722788 Road_or_Driveway:0.0310807554951 Traffic_Signal:0.0
71 Other Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.896395137926 Other:0.00636342890742 Building_or_Public_Space:0.0746041082832 Road_or_Driveway:0.0226373248836 Traffic_Signal:0.0
72 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.610498486681 Other:0.00430015212059 Building_or_Public_Space:0.376833897269 Road_or_Driveway:0.00836746392902 Traffic_Signal:0.0
73 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.71333571385 Other:0.00189519517953 Building_or_Public_Space:0.182849683606 Road_or_Driveway:0.101919407365 Traffic_Signal:0.0
74 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.89589579862 Other:0.00585298574474 Building_or_Public_Space:0.0920717768779 Road_or_Driveway:0.00617943875778 Traffic_Signal:0.0
75 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.755525375434 Other:0.00932902078516 Building_or_Public_Space:0.205456461103 Road_or_Driveway:0.0296891426778 Traffic_Signal:0.0
76 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.665290153718 Other:0.00639286086146 Building_or_Public_Space:0.301029653445 Road_or_Driveway:0.0272873319754 Traffic_Signal:0.0
77 Road_or_Driveway Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.391392183111 Other:0.00920176478046 Building_or_Public_Space:0.516716331596 Road_or_Driveway:0.0826897205124 Traffic_Signal:0.0
78 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.76738515729 Other:0.00370346855234 Building_or_Public_Space:0.117879883612 Road_or_Driveway:0.110788560416 Traffic_Signal:0.000242930129897
79 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.974747564562 Other:0.00196213238273 Building_or_Public_Space:0.0221309281791 Road_or_Driveway:0.00115937487579 Traffic_Signal:0.0
80 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.934586665409 Other:0.00371577145233 Building_or_Public_Space:0.0579476165176 Road_or_Driveway:0.00374994662107 Traffic_Signal:0.0
81 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.764664108538 Other:0.00731339523927 Building_or_Public_Space:0.215505006981 Road_or_Driveway:0.0125174892417 Traffic_Signal:0.0
82 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.732846053039 Other:0.00620331427234 Building_or_Public_Space:0.249928092548 Road_or_Driveway:0.0110225401401 Traffic_Signal:0.0
83 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.904621594251 Other:0.00500975087432 Building_or_Public_Space:0.0779435378673 Road_or_Driveway:0.012425117007 Traffic_Signal:0.0
84 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.697612194551 Other:0.0145979222295 Building_or_Public_Space:0.257030707482 Road_or_Driveway:0.0307591757371 Traffic_Signal:0.0
85 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.930794784403 Other:0.00162278973653 Building_or_Public_Space:0.064901876753 Road_or_Driveway:0.00268054910765 Traffic_Signal:0.0
86 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.625480580786 Other:0.0114732950786 Building_or_Public_Space:0.314820555516 Road_or_Driveway:0.04822556862 Traffic_Signal:0.0
87 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.595261236339 Other:0.00450464138575 Building_or_Public_Space:0.373647467351 Road_or_Driveway:0.0265866549247 Traffic_Signal:0.0
88 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.82497283553 Other:0.00327529744464 Building_or_Public_Space:0.162332100634 Road_or_Driveway:0.00941976639157 Traffic_Signal:0.0
89 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.775519649816 Other:0.0197157808944 Building_or_Public_Space:0.179299616444 Road_or_Driveway:0.0254649528461 Traffic_Signal:0.0
90 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.711760032809 Other:0.0207757364366 Building_or_Public_Space:0.231820115719 Road_or_Driveway:0.0356441150355 Traffic_Signal:0.0
91 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.900855657022 Other:0.00569314039184 Building_or_Public_Space:0.081447035859 Road_or_Driveway:0.0120041667273 Traffic_Signal:0.0
92 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.781920851485 Other:0.0166410001864 Building_or_Public_Space:0.174690600871 Road_or_Driveway:0.0267475474579 Traffic_Signal:0.0
93 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.870392684154 Other:0.00398733988373 Building_or_Public_Space:0.108480616997 Road_or_Driveway:0.0171393589657 Traffic_Signal:0.0
94 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.805423453475 Other:0.011432864753 Building_or_Public_Space:0.145300799287 Road_or_Driveway:0.0378428824854 Traffic_Signal:0.0
95 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.917393670841 Other:0.0017529055831 Building_or_Public_Space:0.0749577099007 Road_or_Driveway:0.00589571367549 Traffic_Signal:0.0
96 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.94608588515 Other:0.00219838209629 Building_or_Public_Space:0.048140660237 Road_or_Driveway:0.00357507251716 Traffic_Signal:0.0
97 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.945091532771 Other:0.00201571309504 Building_or_Public_Space:0.0484016604222 Road_or_Driveway:0.00449109371179 Traffic_Signal:0.0
98 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.675570120378 Other:0.00328607289599 Building_or_Public_Space:0.271046136931 Road_or_Driveway:0.0500976697953 Traffic_Signal:0.0
99 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.713145176248 Other:0.0857630034403 Building_or_Public_Space:0.142329303792 Road_or_Driveway:0.0587625165196 Traffic_Signal:0.0
100 Road_or_Driveway Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.537461472912 Other:0.0171555181648 Building_or_Public_Space:0.433343797536 Road_or_Driveway:0.0120392113872 Traffic_Signal:0.0
101 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.872238530633 Other:0.00209348279851 Building_or_Public_Space:0.124800293919 Road_or_Driveway:0.000867692649316 Traffic_Signal:0.0
102 Person_or_Vehicle Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.223443789433 Other:0.00399848155914 Building_or_Public_Space:0.67944193598 Road_or_Driveway:0.0931157930276 Traffic_Signal:0.0
103 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.894219182982 Other:0.00156554172696 Building_or_Public_Space:0.0981637024407 Road_or_Driveway:0.00599845323784 Traffic_Signal:5.31196123493e-05
104 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.944306948242 Other:0.0163400678114 Building_or_Public_Space:0.0377698739729 Road_or_Driveway:0.00158310997325 Traffic_Signal:0.0
105 Other Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.912343399247 Other:0.00850566342931 Building_or_Public_Space:0.0768982376537 Road_or_Driveway:0.00225269966999 Traffic_Signal:0.0
106 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.732189570332 Other:0.0298497917376 Building_or_Public_Space:0.192239197892 Road_or_Driveway:0.0457214400383 Traffic_Signal:0.0
107 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.746362850853 Other:0.00322097233978 Building_or_Public_Space:0.243659669573 Road_or_Driveway:0.00675650723415 Traffic_Signal:0.0
108 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.602514491297 Other:0.0072446063653 Building_or_Public_Space:0.363029156781 Road_or_Driveway:0.0272117455569 Traffic_Signal:0.0
109 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.657492417974 Other:0.00529650999548 Building_or_Public_Space:0.323028890593 Road_or_Driveway:0.0141821814376 Traffic_Signal:0.0
110 Building_or_Public_Space Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.375717043908 Other:0.00761920638111 Building_or_Public_Space:0.580409189838 Road_or_Driveway:0.0362545598725 Traffic_Signal:0.0
111 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.431939513068 Other:0.00747143201013 Building_or_Public_Space:0.428393977897 Road_or_Driveway:0.130291774012 Traffic_Signal:0.00190330301311
112 Road_or_Driveway Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.279595254565 Other:0.010615795739 Building_or_Public_Space:0.640120526116 Road_or_Driveway:0.0696684235799 Traffic_Signal:0.0
113 Road_or_Driveway Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.661326423037 Other:0.00309456425489 Building_or_Public_Space:0.21805161597 Road_or_Driveway:0.116526774598 Traffic_Signal:0.00100062213957
114 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.878125929893 Other:0.00164820669467 Building_or_Public_Space:0.107130846978 Road_or_Driveway:0.0130950164342 Traffic_Signal:0.0
115 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.707929815781 Other:0.00721678248633 Building_or_Public_Space:0.224782169578 Road_or_Driveway:0.0600712321548 Traffic_Signal:0.0
116 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.853381971184 Other:0.00622767565508 Building_or_Public_Space:0.118826884289 Road_or_Driveway:0.0215634688712 Traffic_Signal:0.0
117 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.726721556506 Other:0.00749652781927 Building_or_Public_Space:0.209677107736 Road_or_Driveway:0.0561048079386 Traffic_Signal:0.0
118 Traffic_Signal Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.57392253722 Other:0.0209823059794 Building_or_Public_Space:0.212169650963 Road_or_Driveway:0.192925505838 Traffic_Signal:0.0
119 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.725701342553 Other:0.00929601765465 Building_or_Public_Space:0.206843907573 Road_or_Driveway:0.0581587322194 Traffic_Signal:0.0
120 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.559751747652 Other:0.00981961024477 Building_or_Public_Space:0.398421910936 Road_or_Driveway:0.0320067311666 Traffic_Signal:0.0
121 Building_or_Public_Space Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.464936609853 Other:0.0128114477062 Building_or_Public_Space:0.479966951334 Road_or_Driveway:0.0422849911066 Traffic_Signal:0.0
122 Building_or_Public_Space Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.225934246846 Other:0.00346594544177 Building_or_Public_Space:0.638292914996 Road_or_Driveway:0.12237137567 Traffic_Signal:0.00993551704504
123 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.652813830995 Other:0.00220550234746 Building_or_Public_Space:0.279971474118 Road_or_Driveway:0.0583917678546 Traffic_Signal:0.00661742468569
124 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.673945393735 Other:0.0270731541217 Building_or_Public_Space:0.153318202458 Road_or_Driveway:0.145663249686 Traffic_Signal:0.0
125 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.878458635067 Other:0.00495939519357 Building_or_Public_Space:0.102450077123 Road_or_Driveway:0.0141318926169 Traffic_Signal:0.0
126 Building_or_Public_Space Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.476753089344 Other:0.00341510648001 Building_or_Public_Space:0.500382882008 Road_or_Driveway:0.019448922168 Traffic_Signal:0.0
127 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.911451906151 Other:0.00373686265664 Building_or_Public_Space:0.0656294185439 Road_or_Driveway:0.0185542751511 Traffic_Signal:0.000627537497175
